ref_area,indicator,source,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
ANT,INJ_FATL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1994,5,,,T13:149_I4:219,
ANT,INJ_FATL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1994,5,,,T13:149_I4:219,
ANT,INJ_FATL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1995,0,,,T13:149_I4:219,
ANT,INJ_FATL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1995,0,,,T13:149_I4:219,
ANT,INJ_FATL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1996,0,,,T13:149_I4:219,
ANT,INJ_FATL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1996,0,,,T13:149_I4:219,
ANT,INJ_FATL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1997,0,,,T13:149_I4:219,
ANT,INJ_FATL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1997,0,,,T13:149_I4:219,
ANT,INJ_FATL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1998,1,,,T13:149_I4:219,
ANT,INJ_FATL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1998,1,,,T13:149_I4:219,
ANT,INJ_FATL_ECO_RT,FA:854,ECO_ISIC3_TOTAL,1999,0,,,T13:149_I4:219,
ANT,INJ_FATL_ECO_RT,FA:854,ECO_AGGREGATE_TOTAL,1999,0,,,T13:149_I4:219,
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,1997,14.92,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_1,1997,31.11,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_2,1997,26.7,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_3,1997,13.27,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_4,1997,27.94,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_5,1997,38.6,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_6,1997,8.9,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_7,1997,32.04,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_8,1997,11.03,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_9,1997,6.55,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,1997,14.92,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,1998,23.7,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_1,1998,55.26,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_2,1998,34.77,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_3,1998,23.62,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_4,1998,23.11,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_5,1998,58.28,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_6,1998,19.59,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_7,1998,46.54,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_8,1998,17.76,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_9,1998,10.73,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,1998,23.7,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,1999,21.58,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_1,1999,55.19,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_2,1999,32.19,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_3,1999,19.97,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_4,1999,47.14,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_5,1999,57.99,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_6,1999,21.26,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_7,1999,38.55,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_8,1999,18.35,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_9,1999,8.81,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_AGGREGATE_TOTAL,1999,21.58,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_TOTAL,2000,18.59,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_1,2000,33.48,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_2,2000,33.13,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_3,2000,19.31,,,T13:149_I4:219,S3:26
ARG,INJ_FATL_ECO_RT,FA:865,ECO_ISIC2_4,2000,23.75,,,T13:149_I4:219,S3:26
