,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
All Countries Total,All Countries Total,83046,108714,124677,137061,164583,184615,220414,263394,314754,368924,394911,419108,423131,467412,480667,535553,598021,681842,778418,955726,1256867,1343987,1327170,1395159,1520316,1634121,1840463,1993156,2046662,2069438,2280044,2433848,2584708,2727825,2945795,3354907,3561808,3952314,4179984,4439255,4626452
Canada,Canada,12162,12116,11708,11434,15286,17131,20318,24684,26566,30370,29544,36834,37515,40373,41219,45618,54836,65175,72696,90559,114309,92420,92529,95707,125276,165667,165281,201924,168746,188943,192463,205225,214314,222989,273896,323207,344929,422067,447276,480369,490769
Europe[1],Europe[1],54688,72377,83193,92936,108211,121413,144181,181006,208942,239190,247320,256053,249904,285004,294035,332374,370843,428721,518576,639923,887014,999069,958330,1001237,1078782,1154048,1326738,1421325,1477896,1504727,1659774,1732316,1836716,1901471,2004199,2306254,2448305,2646874,2793000,2827081,2946236
Austria,  Austria,NA,NA,NA,NA,NA,NA,NA,245,392,386,625,573,583,638,769,1553,1784,2363,2618,3216,3007,2743,3596,3606,3572,2425,2305,4410,4251,4622,4532,4861,5286,5976,6962,7159,10655,13473,11618,14434,15671
Belgium,  Belgium,1554,1891,1904,2261,2548,2291,2487,3371,3471,3799,3900,3228,4165,3870,4331,4397,4658,6199,9929,11011,14787,15623,9777,11239,12581,10024,11691,23471,23379,36292,69565,78767,102705,91413,97038,88121,94462,82968,73102,71438,74555
Denmark,  Denmark,NA,NA,NA,NA,NA,NA,NA,498,588,656,819,448,571,1110,2429,3444,2626,2858,3294,5215,4025,1857,4215,4531,5064,6117,6726,5761,5537,6806,7772,7470,7732,9913,13322,14509,18920,17707,19703,23114,30660
"Denmark, Greece, and Ireland","  Denmark, Greece, and Ireland",311,399,456,584,779,1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,  Finland,NA,NA,NA,NA,NA,NA,NA,295,452,1297,1504,1416,1767,1617,2016,2710,2950,3892,3949,4816,8875,7620,6133,5300,5639,5938,7129,5308,7613,5415,4943,5213,6087,6852,4284,6471,6118,6784,14221,14469,15144
France,  France,3731,5876,5708,5726,6591,6670,7709,10137,13233,15365,18650,25078,23918,30304,32950,36167,43253,50141,59925,89945,125740,154984,133914,136434,137927,114260,147799,141487,141922,158924,189763,197785,214712,197338,202682,233547,255595,258485,255016,267066,285078
Germany,  Germany,7596,9459,9850,10845,12330,14816,17250,21905,25250,28386,28232,29335,29419,34987,39630,46017,61096,68838,93289,112126,122412,162314,138301,160691,164921,177176,205969,187815,173843,183966,203077,213601,197438,213256,251009,281295,277209,298208,320457,351283,411308
Ireland,  Ireland,NA,NA,NA,NA,NA,NA,NA,544,725,1416,1340,1863,1818,4771,2974,4749,6437,10394,12198,14958,25523,25632,27302,23346,16446,17465,25517,26089,21270,21044,24097,22448,17801,18981,26431,55861,102251,175774,276963,239127,240119
